text_id,prompt_id,genre,theme,model_family,model_name,provider,clean_word_count,clean_length_status,tsne_1,tsne_2
GPT_gpt-4o-mini_NAR_021,NAR_021,Narrative,business,GPT,gpt-4o-mini,OpenAI,204,valid,-34.970257,2.4394207
GPT_gpt-4o-mini_NAR_022,NAR_022,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid,0.63906187,10.893595
GPT_gpt-4o-mini_NAR_023,NAR_023,Narrative,business,GPT,gpt-4o-mini,OpenAI,212,valid,-11.046069,-18.192696
GPT_gpt-4o-mini_NAR_024,NAR_024,Narrative,business,GPT,gpt-4o-mini,OpenAI,206,valid,-46.01639,6.3476415
GPT_gpt-4o-mini_NAR_025,NAR_025,Narrative,business,GPT,gpt-4o-mini,OpenAI,206,valid,0.925575,12.748623
GPT_gpt-4o-mini_NAR_026,NAR_026,Narrative,business,GPT,gpt-4o-mini,OpenAI,211,valid,-2.937536,-24.424387
GPT_gpt-4o-mini_NAR_027,NAR_027,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid,-28.547121,-17.623703
GPT_gpt-4o-mini_NAR_028,NAR_028,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid,-23.832115,-22.295174
GPT_gpt-4o-mini_NAR_029,NAR_029,Narrative,business,GPT,gpt-4o-mini,OpenAI,217,valid,-1.9270033,-31.220695
GPT_gpt-4o-mini_NAR_030,NAR_030,Narrative,business,GPT,gpt-4o-mini,OpenAI,214,valid,-10.576121,-14.671724
GPT_gpt-4o-mini_NAR_031,NAR_031,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid,-1.3465933,2.092198
GPT_gpt-4o-mini_NAR_032,NAR_032,Narrative,career,GPT,gpt-4o-mini,OpenAI,212,valid,-2.9384232,0.06487042
GPT_gpt-4o-mini_NAR_033,NAR_033,Narrative,career,GPT,gpt-4o-mini,OpenAI,211,valid,3.9807663,-2.670249
GPT_gpt-4o-mini_NAR_034,NAR_034,Narrative,career,GPT,gpt-4o-mini,OpenAI,195,valid,38.097202,1.8636798
GPT_gpt-4o-mini_NAR_035,NAR_035,Narrative,career,GPT,gpt-4o-mini,OpenAI,211,valid,1.5631194,-3.1527467
GPT_gpt-4o-mini_NAR_036,NAR_036,Narrative,career,GPT,gpt-4o-mini,OpenAI,214,valid,6.5672774,-6.770752
GPT_gpt-4o-mini_NAR_037,NAR_037,Narrative,career,GPT,gpt-4o-mini,OpenAI,216,valid,-1.3398199,8.812208
GPT_gpt-4o-mini_NAR_038,NAR_038,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid,0.9626694,9.603767
GPT_gpt-4o-mini_NAR_039,NAR_039,Narrative,career,GPT,gpt-4o-mini,OpenAI,208,valid,-1.2948885,2.2410758
GPT_gpt-4o-mini_NAR_040,NAR_040,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid,2.9193513,13.378052
GPT_gpt-4o-mini_NAR_041,NAR_041,Narrative,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-17.157606,24.511278
GPT_gpt-4o-mini_NAR_042,NAR_042,Narrative,personal,GPT,gpt-4o-mini,OpenAI,214,valid,-16.100258,25.366262
GPT_gpt-4o-mini_NAR_043,NAR_043,Narrative,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-10.434558,24.227573
GPT_gpt-4o-mini_NAR_044,NAR_044,Narrative,personal,GPT,gpt-4o-mini,OpenAI,203,valid,-15.509643,10.492627
GPT_gpt-4o-mini_NAR_045,NAR_045,Narrative,personal,GPT,gpt-4o-mini,OpenAI,209,valid,-14.319645,5.8335247
GPT_gpt-4o-mini_NAR_046,NAR_046,Narrative,personal,GPT,gpt-4o-mini,OpenAI,207,valid,-20.158438,18.791258
GPT_gpt-4o-mini_NAR_047,NAR_047,Narrative,personal,GPT,gpt-4o-mini,OpenAI,214,valid,-19.578726,16.227095
GPT_gpt-4o-mini_NAR_048,NAR_048,Narrative,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-5.799102,-13.608226
GPT_gpt-4o-mini_NAR_049,NAR_049,Narrative,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-30.131472,19.319859
GPT_gpt-4o-mini_NAR_050,NAR_050,Narrative,personal,GPT,gpt-4o-mini,OpenAI,208,valid,-7.0947676,8.310171
GPT_gpt-4o-mini_DES_001,DES_001,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,219,valid,11.2850685,7.488326
GPT_gpt-4o-mini_DES_002,DES_002,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,203,valid,17.252775,8.614571
GPT_gpt-4o-mini_DES_003,DES_003,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,14.339503,11.421455
GPT_gpt-4o-mini_DES_004,DES_004,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,207,valid,9.067383,9.295931
GPT_gpt-4o-mini_DES_005,DES_005,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,218,valid,34.04313,18.540855
GPT_gpt-4o-mini_DES_006,DES_006,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,204,valid,19.019943,23.329988
GPT_gpt-4o-mini_DES_007,DES_007,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,205,valid,19.396984,11.116517
GPT_gpt-4o-mini_DES_008,DES_008,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,212,valid,21.89777,13.790329
GPT_gpt-4o-mini_DES_009,DES_009,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,209,valid,9.204643,11.598766
GPT_gpt-4o-mini_DES_010,DES_010,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,16.915005,4.38142
GPT_gpt-4o-mini_DES_011,DES_011,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,-12.437715,-39.683556
GPT_gpt-4o-mini_DES_012,DES_012,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,205,valid,-14.503142,-38.468964
GPT_gpt-4o-mini_DES_013,DES_013,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,202,valid,22.91789,-30.253468
GPT_gpt-4o-mini_DES_014,DES_014,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,204,valid,32.03544,-16.504532
GPT_gpt-4o-mini_DES_015,DES_015,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,214,valid,30.099943,-19.33593
GPT_gpt-4o-mini_DES_016,DES_016,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,214,valid,18.68163,-0.6182294
GPT_gpt-4o-mini_DES_017,DES_017,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,203,valid,26.244633,-27.400568
GPT_gpt-4o-mini_DES_018,DES_018,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,208,valid,22.459822,-35.358448
GPT_gpt-4o-mini_DES_019,DES_019,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,202,valid,25.084415,-32.395374
GPT_gpt-4o-mini_DES_020,DES_020,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,19.3845,-17.96029
GPT_gpt-4o-mini_DES_021,DES_021,Descriptive,business,GPT,gpt-4o-mini,OpenAI,202,valid,-35.130497,-0.057746332
GPT_gpt-4o-mini_DES_022,DES_022,Descriptive,business,GPT,gpt-4o-mini,OpenAI,209,valid,-31.241602,2.2552044
GPT_gpt-4o-mini_DES_023,DES_023,Descriptive,business,GPT,gpt-4o-mini,OpenAI,203,valid,-20.495272,-27.933504
GPT_gpt-4o-mini_DES_024,DES_024,Descriptive,business,GPT,gpt-4o-mini,OpenAI,207,valid,-45.29165,7.288717
GPT_gpt-4o-mini_DES_025,DES_025,Descriptive,business,GPT,gpt-4o-mini,OpenAI,209,valid,-43.668205,9.191949
GPT_gpt-4o-mini_DES_026,DES_026,Descriptive,business,GPT,gpt-4o-mini,OpenAI,212,valid,-14.262891,-14.714237
GPT_gpt-4o-mini_DES_027,DES_027,Descriptive,business,GPT,gpt-4o-mini,OpenAI,206,valid,0.84923387,25.610533
GPT_gpt-4o-mini_DES_028,DES_028,Descriptive,business,GPT,gpt-4o-mini,OpenAI,200,valid,-23.411955,-25.802412
GPT_gpt-4o-mini_DES_029,DES_029,Descriptive,business,GPT,gpt-4o-mini,OpenAI,204,valid,-1.277113,-32.647373
GPT_gpt-4o-mini_DES_030,DES_030,Descriptive,business,GPT,gpt-4o-mini,OpenAI,207,valid,-20.62724,-19.182673
GPT_gpt-4o-mini_DES_031,DES_031,Descriptive,career,GPT,gpt-4o-mini,OpenAI,207,valid,7.8403926,4.2875433
GPT_gpt-4o-mini_DES_032,DES_032,Descriptive,career,GPT,gpt-4o-mini,OpenAI,215,valid,9.344775,-0.47727668
GPT_gpt-4o-mini_DES_033,DES_033,Descriptive,career,GPT,gpt-4o-mini,OpenAI,204,valid,12.09225,3.2521603
GPT_gpt-4o-mini_DES_034,DES_034,Descriptive,career,GPT,gpt-4o-mini,OpenAI,189,valid,38.51728,3.0570526
GPT_gpt-4o-mini_DES_035,DES_035,Descriptive,career,GPT,gpt-4o-mini,OpenAI,200,valid,3.7311535,-13.981975
GPT_gpt-4o-mini_DES_036,DES_036,Descriptive,career,GPT,gpt-4o-mini,OpenAI,205,valid,-13.785925,-10.264074
GPT_gpt-4o-mini_DES_037,DES_037,Descriptive,career,GPT,gpt-4o-mini,OpenAI,203,valid,5.6125774,-13.168275
GPT_gpt-4o-mini_DES_038,DES_038,Descriptive,career,GPT,gpt-4o-mini,OpenAI,211,valid,9.125398,6.8678637
GPT_gpt-4o-mini_DES_039,DES_039,Descriptive,career,GPT,gpt-4o-mini,OpenAI,209,valid,-13.5554495,7.081535
GPT_gpt-4o-mini_DES_040,DES_040,Descriptive,career,GPT,gpt-4o-mini,OpenAI,204,valid,0.5158864,-16.585613
GPT_gpt-4o-mini_DES_041,DES_041,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-9.308657,20.255575
GPT_gpt-4o-mini_DES_042,DES_042,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-15.935289,21.919788
GPT_gpt-4o-mini_DES_043,DES_043,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,209,valid,-7.6969604,22.351269
GPT_gpt-4o-mini_DES_044,DES_044,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,204,valid,-11.595205,14.977605
GPT_gpt-4o-mini_DES_045,DES_045,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,200,valid,2.1407712,35.06324
GPT_gpt-4o-mini_DES_046,DES_046,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-22.630867,15.972846
GPT_gpt-4o-mini_DES_047,DES_047,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,200,valid,24.202497,2.5753176
GPT_gpt-4o-mini_DES_048,DES_048,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,198,valid,-35.318184,21.403238
GPT_gpt-4o-mini_DES_049,DES_049,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-7.3771596,25.117636
GPT_gpt-4o-mini_DES_050,DES_050,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-10.578192,8.9984865
GPT_gpt-4o-mini_ARG_001,ARG_001,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,218,valid,20.227295,27.963837
GPT_gpt-4o-mini_ARG_002,ARG_002,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,213,valid,22.668514,24.567135
GPT_gpt-4o-mini_ARG_003,ARG_003,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,12.630528,27.00708
GPT_gpt-4o-mini_ARG_004,ARG_004,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,202,valid,26.917767,24.978365
GPT_gpt-4o-mini_ARG_005,ARG_005,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,20.612434,25.569277
GPT_gpt-4o-mini_ARG_006,ARG_006,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,207,valid,21.88175,29.777464
GPT_gpt-4o-mini_ARG_007,ARG_007,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,204,valid,32.02531,11.672902
GPT_gpt-4o-mini_ARG_008,ARG_008,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,204,valid,18.509272,29.667505
GPT_gpt-4o-mini_ARG_009,ARG_009,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,206,valid,8.43479,26.563745
GPT_gpt-4o-mini_ARG_010,ARG_010,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,218,valid,14.743634,31.261976
GPT_gpt-4o-mini_ARG_011,ARG_011,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,205,valid,29.117395,-23.681623
GPT_gpt-4o-mini_ARG_012,ARG_012,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,201,valid,31.232609,-28.706854
GPT_gpt-4o-mini_ARG_013,ARG_013,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,220,valid,23.272747,-16.436014
GPT_gpt-4o-mini_ARG_014,ARG_014,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,206,valid,37.495697,-16.26292
GPT_gpt-4o-mini_ARG_015,ARG_015,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,212,valid,13.557194,-14.949343
GPT_gpt-4o-mini_ARG_016,ARG_016,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,33.850426,-8.681479
GPT_gpt-4o-mini_ARG_017,ARG_017,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,214,valid,33.198643,-19.010809
GPT_gpt-4o-mini_ARG_018,ARG_018,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,215,valid,11.615069,-12.918699
GPT_gpt-4o-mini_ARG_019,ARG_019,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,220,valid,25.281828,-22.419483
GPT_gpt-4o-mini_ARG_020,ARG_020,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,209,valid,18.88274,-14.382634
GPT_gpt-4o-mini_ARG_021,ARG_021,Argumentative,business,GPT,gpt-4o-mini,OpenAI,207,valid,-37.43921,-0.7202957
GPT_gpt-4o-mini_ARG_022,ARG_022,Argumentative,business,GPT,gpt-4o-mini,OpenAI,206,valid,-39.63443,-1.3187983
GPT_gpt-4o-mini_ARG_023,ARG_023,Argumentative,business,GPT,gpt-4o-mini,OpenAI,203,valid,-39.706757,-7.168174
GPT_gpt-4o-mini_ARG_024,ARG_024,Argumentative,business,GPT,gpt-4o-mini,OpenAI,212,valid,-45.199745,1.9673743
GPT_gpt-4o-mini_ARG_025,ARG_025,Argumentative,business,GPT,gpt-4o-mini,OpenAI,213,valid,-42.97057,5.2253585
GPT_gpt-4o-mini_ARG_026,ARG_026,Argumentative,business,GPT,gpt-4o-mini,OpenAI,208,valid,-20.641373,-14.881458
GPT_gpt-4o-mini_ARG_027,ARG_027,Argumentative,business,GPT,gpt-4o-mini,OpenAI,213,valid,-24.505793,-18.399107
GPT_gpt-4o-mini_ARG_028,ARG_028,Argumentative,business,GPT,gpt-4o-mini,OpenAI,208,valid,-28.543648,-15.643998
GPT_gpt-4o-mini_ARG_029,ARG_029,Argumentative,business,GPT,gpt-4o-mini,OpenAI,220,valid,-32.88941,-15.168448
GPT_gpt-4o-mini_ARG_030,ARG_030,Argumentative,business,GPT,gpt-4o-mini,OpenAI,220,valid,1.573716,-33.27004
GPT_gpt-4o-mini_ARG_031,ARG_031,Argumentative,career,GPT,gpt-4o-mini,OpenAI,207,valid,-18.436804,-5.097709
GPT_gpt-4o-mini_ARG_032,ARG_032,Argumentative,career,GPT,gpt-4o-mini,OpenAI,208,valid,-20.797588,-9.378077
GPT_gpt-4o-mini_ARG_033,ARG_033,Argumentative,career,GPT,gpt-4o-mini,OpenAI,215,valid,9.99188,-17.971344
GPT_gpt-4o-mini_ARG_034,ARG_034,Argumentative,career,GPT,gpt-4o-mini,OpenAI,216,valid,9.438524,-13.866078
GPT_gpt-4o-mini_ARG_035,ARG_035,Argumentative,career,GPT,gpt-4o-mini,OpenAI,205,valid,-20.73067,0.94521713
GPT_gpt-4o-mini_ARG_036,ARG_036,Argumentative,career,GPT,gpt-4o-mini,OpenAI,209,valid,31.659988,0.17406684
GPT_gpt-4o-mini_ARG_037,ARG_037,Argumentative,career,GPT,gpt-4o-mini,OpenAI,214,valid,9.035298,-7.7390127
GPT_gpt-4o-mini_ARG_038,ARG_038,Argumentative,career,GPT,gpt-4o-mini,OpenAI,209,valid,-16.226494,-8.501222
GPT_gpt-4o-mini_ARG_039,ARG_039,Argumentative,career,GPT,gpt-4o-mini,OpenAI,212,valid,-13.959821,-4.5213904
GPT_gpt-4o-mini_ARG_040,ARG_040,Argumentative,career,GPT,gpt-4o-mini,OpenAI,203,valid,3.297187,21.918806
GPT_gpt-4o-mini_ARG_041,ARG_041,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,207,valid,-20.293056,32.470062
GPT_gpt-4o-mini_ARG_042,ARG_042,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,208,valid,-17.619562,32.081936
GPT_gpt-4o-mini_ARG_043,ARG_043,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,204,valid,-13.644122,35.040504
GPT_gpt-4o-mini_ARG_044,ARG_044,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,197,valid,-17.021767,34.598156
GPT_gpt-4o-mini_ARG_045,ARG_045,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,217,valid,-23.773819,-1.8810886
GPT_gpt-4o-mini_ARG_046,ARG_046,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,208,valid,-28.925758,-11.68504
GPT_gpt-4o-mini_ARG_047,ARG_047,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,207,valid,-25.695326,-9.619439
GPT_gpt-4o-mini_ARG_048,ARG_048,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,212,valid,-35.176495,16.149328
GPT_gpt-4o-mini_ARG_049,ARG_049,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,216,valid,-17.399666,-1.4364007
GPT_gpt-4o-mini_ARG_050,ARG_050,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,211,valid,-4.9495583,15.148056
GPT_gpt-4o-mini_DIA_001,DIA_001,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,212,valid,16.944202,25.53802
GPT_gpt-4o-mini_DIA_002,DIA_002,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,212,valid,31.706709,22.64174
GPT_gpt-4o-mini_DIA_003,DIA_003,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,208,valid,28.498852,14.216678
GPT_gpt-4o-mini_DIA_004,DIA_004,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,206,valid,25.400618,9.245989
GPT_gpt-4o-mini_DIA_005,DIA_005,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,211,valid,22.690468,20.18205
GPT_gpt-4o-mini_DIA_006,DIA_006,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,210,valid,23.868444,27.668768
GPT_gpt-4o-mini_DIA_007,DIA_007,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,216,valid,14.833616,25.170841
GPT_gpt-4o-mini_DIA_008,DIA_008,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,209,valid,27.027582,18.535843
GPT_gpt-4o-mini_DIA_009,DIA_009,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,216,valid,42.4036,-5.273161
GPT_gpt-4o-mini_DIA_010,DIA_010,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,214,valid,31.757866,25.411737
GPT_gpt-4o-mini_DIA_011,DIA_011,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,213,valid,22.091448,-27.169317
GPT_gpt-4o-mini_DIA_012,DIA_012,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,214,valid,-9.508854,-38.651585
GPT_gpt-4o-mini_DIA_013,DIA_013,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,206,valid,9.969436,-32.36013
GPT_gpt-4o-mini_DIA_014,DIA_014,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,202,valid,32.84542,-28.415459
GPT_gpt-4o-mini_DIA_015,DIA_015,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,206,valid,22.609678,-7.1392703
GPT_gpt-4o-mini_DIA_016,DIA_016,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,215,valid,20.808462,-33.892197
GPT_gpt-4o-mini_DIA_017,DIA_017,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,211,valid,34.18038,-22.610073
GPT_gpt-4o-mini_DIA_018,DIA_018,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,213,valid,24.44107,-24.490955
GPT_gpt-4o-mini_DIA_019,DIA_019,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,208,valid,28.754768,-33.809685
GPT_gpt-4o-mini_DIA_020,DIA_020,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,216,valid,22.29425,-20.847027
GPT_gpt-4o-mini_DIA_021,DIA_021,Dialogue,business,GPT,gpt-4o-mini,OpenAI,216,valid,-36.547718,0.9822369
GPT_gpt-4o-mini_DIA_022,DIA_022,Dialogue,business,GPT,gpt-4o-mini,OpenAI,220,valid,-33.74079,-4.602489
GPT_gpt-4o-mini_DIA_023,DIA_023,Dialogue,business,GPT,gpt-4o-mini,OpenAI,218,valid,-16.825327,-24.431477
GPT_gpt-4o-mini_DIA_024,DIA_024,Dialogue,business,GPT,gpt-4o-mini,OpenAI,204,valid,-49.00806,8.801329
GPT_gpt-4o-mini_DIA_025,DIA_025,Dialogue,business,GPT,gpt-4o-mini,OpenAI,210,valid,-44.86423,4.7265496
GPT_gpt-4o-mini_DIA_026,DIA_026,Dialogue,business,GPT,gpt-4o-mini,OpenAI,215,valid,-15.965573,-20.86731
GPT_gpt-4o-mini_DIA_027,DIA_027,Dialogue,business,GPT,gpt-4o-mini,OpenAI,209,valid,-1.668182,-26.773357
GPT_gpt-4o-mini_DIA_028,DIA_028,Dialogue,business,GPT,gpt-4o-mini,OpenAI,216,valid,-29.925533,-17.05413
GPT_gpt-4o-mini_DIA_029,DIA_029,Dialogue,business,GPT,gpt-4o-mini,OpenAI,217,valid,-21.366236,-23.83984
GPT_gpt-4o-mini_DIA_030,DIA_030,Dialogue,business,GPT,gpt-4o-mini,OpenAI,218,valid,1.6803209,-31.262358
GPT_gpt-4o-mini_DIA_031,DIA_031,Dialogue,career,GPT,gpt-4o-mini,OpenAI,212,valid,-3.6307592,-8.178842
GPT_gpt-4o-mini_DIA_032,DIA_032,Dialogue,career,GPT,gpt-4o-mini,OpenAI,220,valid,-9.685929,-24.36745
GPT_gpt-4o-mini_DIA_033,DIA_033,Dialogue,career,GPT,gpt-4o-mini,OpenAI,208,valid,7.918509,-23.326773
GPT_gpt-4o-mini_DIA_034,DIA_034,Dialogue,career,GPT,gpt-4o-mini,OpenAI,191,valid,36.482594,1.1075708
GPT_gpt-4o-mini_DIA_035,DIA_035,Dialogue,career,GPT,gpt-4o-mini,OpenAI,214,valid,6.686951,-15.665735
GPT_gpt-4o-mini_DIA_036,DIA_036,Dialogue,career,GPT,gpt-4o-mini,OpenAI,209,valid,0.70807934,-8.327628
GPT_gpt-4o-mini_DIA_037,DIA_037,Dialogue,career,GPT,gpt-4o-mini,OpenAI,216,valid,-6.8293357,-7.487461
GPT_gpt-4o-mini_DIA_038,DIA_038,Dialogue,career,GPT,gpt-4o-mini,OpenAI,220,valid,-11.835378,-1.0527047
GPT_gpt-4o-mini_DIA_039,DIA_039,Dialogue,career,GPT,gpt-4o-mini,OpenAI,216,valid,-7.0486646,-9.765074
GPT_gpt-4o-mini_DIA_040,DIA_040,Dialogue,career,GPT,gpt-4o-mini,OpenAI,216,valid,3.3677087,19.928167
GPT_gpt-4o-mini_DIA_041,DIA_041,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,215,valid,-19.0895,28.42151
GPT_gpt-4o-mini_DIA_042,DIA_042,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,217,valid,-17.83068,29.484068
GPT_gpt-4o-mini_DIA_043,DIA_043,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,213,valid,-13.0797,29.528296
GPT_gpt-4o-mini_DIA_044,DIA_044,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,220,valid,-18.623238,3.759352
GPT_gpt-4o-mini_DIA_045,DIA_045,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,212,valid,2.671326,37.289974
GPT_gpt-4o-mini_DIA_046,DIA_046,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,209,valid,-20.956995,13.526517
GPT_gpt-4o-mini_DIA_047,DIA_047,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,215,valid,-3.702683,-13.834894
GPT_gpt-4o-mini_DIA_048,DIA_048,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,214,valid,-34.137836,19.389614
